"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"8.mean-3",8,49,0,3,2,10,"b.Mean","c.Big.Lips",FALSE
"9.mean-3",9,48,1,3,2,10,"b.Mean","c.Big.Lips",FALSE
"11.mean-3",11,55,0,1,2,100,"b.Mean","c.Big.Lips",FALSE
"12.mean-3",12,NA,0,1,2,50,"b.Mean","c.Big.Lips",NA
"15.mean-3",15,31,0,3,1,60,"b.Mean","c.Big.Lips",FALSE
"18.mean-3",18,28,1,5,1,50,"b.Mean","c.Big.Lips",FALSE
"19.mean-3",19,24,0,5,2,50,"b.Mean","c.Big.Lips",FALSE
"20.mean-3",20,27,0,5,2,79,"b.Mean","c.Big.Lips",FALSE
"21.mean-3",21,27,1,5,2,30,"b.Mean","c.Big.Lips",FALSE
"22.mean-3",22,25,1,6,2,10,"b.Mean","c.Big.Lips",FALSE
"23.mean-3",23,23,1,3,1,30,"b.Mean","c.Big.Lips",FALSE
"26.mean-3",26,26,NA,3,2,30,"b.Mean","c.Big.Lips",FALSE
"27.mean-3",27,31,1,5,2,65,"b.Mean","c.Big.Lips",FALSE
"28.mean-3",28,25,0,5,2,20,"b.Mean","c.Big.Lips",FALSE
"29.mean-3",29,24,1,5,1,60,"b.Mean","c.Big.Lips",FALSE
"30.mean-3",30,24,0,5,2,30,"b.Mean","c.Big.Lips",FALSE
"31.mean-3",31,26,0,5,1,100,"b.Mean","c.Big.Lips",FALSE
"32.mean-3",32,22,0,2,1,80,"b.Mean","c.Big.Lips",FALSE
"43.mean-3",43,22,0,5,2,20,"b.Mean","c.Big.Lips",FALSE
"44.mean-3",44,24,0,5,2,0,"b.Mean","c.Big.Lips",FALSE
"45.mean-3",45,26,0,5,1,0,"b.Mean","c.Big.Lips",FALSE
"58.mean-3",58,38,1,3,1,100,"b.Mean","c.Big.Lips",FALSE
"63.mean-3",63,54,1,1,1,15,"b.Mean","c.Big.Lips",FALSE
"64.mean-3",64,35,1,3,1,60,"b.Mean","c.Big.Lips",FALSE
"65.mean-3",65,35,1,3,2,20,"b.Mean","c.Big.Lips",FALSE
"66.mean-3",66,10,0,5,1,50,"b.Mean","c.Big.Lips",TRUE
"68.mean-3",68,35,0,3,2,100,"b.Mean","c.Big.Lips",FALSE
"71.mean-3",71,35,0,1,2,50,"b.Mean","c.Big.Lips",FALSE
"72.mean-3",72,50,0,3,2,50,"b.Mean","c.Big.Lips",FALSE
"73.mean-3",73,43,0,1,2,50,"b.Mean","c.Big.Lips",FALSE
"74.mean-3",74,44,1,3,2,100,"b.Mean","c.Big.Lips",FALSE
"83.mean-3",83,25,0,3,2,100,"b.Mean","c.Big.Lips",FALSE
"84.mean-3",84,24,0,3,2,50,"b.Mean","c.Big.Lips",FALSE
"85.mean-3",85,24,0,3,2,20,"b.Mean","c.Big.Lips",FALSE
"86.mean-3",86,22,0,3,2,15,"b.Mean","c.Big.Lips",FALSE
"87.mean-3",87,25,0,3,2,30,"b.Mean","c.Big.Lips",FALSE
"92.mean-3",92,42,1,3,2,10,"b.Mean","c.Big.Lips",FALSE
"1.nice-6",1,71,1,1,2,0,"a.Nice","f.Human",FALSE
"2.nice-6",2,62,0,3,2,50,"a.Nice","f.Human",FALSE
"3.nice-6",3,71,1,1,1,100,"a.Nice","f.Human",FALSE
"4.nice-6",4,68,0,6,1,75,"a.Nice","f.Human",FALSE
"5.nice-6",5,48,1,1,2,80,"a.Nice","f.Human",FALSE
"6.nice-6",6,46,0,6,2,80,"a.Nice","f.Human",FALSE
"7.nice-6",7,54,0,1,2,80,"a.Nice","f.Human",FALSE
"8.nice-6",8,49,0,3,2,40,"a.Nice","f.Human",FALSE
"9.nice-6",9,48,1,3,2,100,"a.Nice","f.Human",FALSE
"11.nice-6",11,55,0,1,2,10,"a.Nice","f.Human",FALSE
"12.nice-6",12,NA,0,1,2,10,"a.Nice","f.Human",NA
"15.nice-6",15,31,0,3,1,80,"a.Nice","f.Human",FALSE
"18.nice-6",18,28,1,5,1,60,"a.Nice","f.Human",FALSE
"19.nice-6",19,24,0,5,2,1,"a.Nice","f.Human",FALSE
"20.nice-6",20,27,0,5,2,60,"a.Nice","f.Human",FALSE
"21.nice-6",21,27,1,5,2,20,"a.Nice","f.Human",FALSE
"22.nice-6",22,25,1,6,2,10,"a.Nice","f.Human",FALSE
"23.nice-6",23,23,1,3,1,0,"a.Nice","f.Human",FALSE
