ID,RSEX,KIDBORN,IDENTITY,LONGILL,LIVEWITH,HOUSTYP,HAPPYSCH,PUPBULL,UBULLPHY,UBULLOTH,UBULLSMS,TALENTS,DECISION,RESOLVE,DEVHEAL,GETONWEL,CRITICAL,CREATIVE,DEALCHL,VALUED,MAFEEQ,MAFAIR,MAHARSH,SCHACTIV,RESPECT,KY10INGH,KY10IN01,KY10IN02,KY10IN03,KY10IN04,KY10IN05,KY10IN06,KY10IN07,KY10IN08,KY10IN09,KY10IN10,KYFINAN,AUTKNOW,Autismp1,Autismp2,Autismp3,Autismp4,autismp5,autismp6,autismnoone,autismdontknow,AUTDIFF,AUTGOOD,AUTNXTDR,AUTCLASS,AUTXHELP,AUTBULL,AUTBULLU,AGMORESP,AGLERESP,AGADMIR,AGLISTEN,AGNOMIX,AGMIX,AGMOVE,AGGENER,AGMEMOR,AGLIVE,KC10IN_T,SCHOOLLOC
2355,2,1,1,2,2,1,1,2,3,3,2,2,2,2,1,2,2,2,2,2,1, , , ,2,4,4,5,4,5,3,4,5,5,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2356,1,1,1,2,1,1,1,4,3,3,2,2,4,4,2,2,4,2,2,2,1, , , ,2,1,5,4,5,5,3,4,4,5,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2357,1,1,3,3,1,2,3,4,4,3,2,3,3,3,4,3,3,5,2,6,2,1,5,6,2,3,4,5,4,4,2,2,5,3,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,1
2358,1,1,1,2,1,1,3,4,3,3,2,2,2,2,3,2,2,6,2,4,2,1,2,6,1,3,2,3,5,4,2,3,4,5,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,1
2359,1,1,3,3,1,1, ,4,3,3,2,2,6,2,2,2,6,6,2,2,4, , , ,6,2,4,5,4,5,5,5,5,5,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,1
2360,1,1,3,2,1,1,1,2,3,3,2,2,3,2,3,3,1,1,2,4,1, , , ,1,2,4,5,4,5,5,3,5,4,3,4,3,1, , , , ,1, , , ,1,3,2,1,3,2,2,3,5,4,4,4,1,3,1,1,2,51.3562010892171,1
2361,1,1,1,2,1,1,1,3,3,3,2,2,3,2,2,1,3,3,3,2,1, , , ,1,2,5,5,5,5,3,4,5,5,5,4,5,1, , , , , , ,1, ,3,3,1,1,3,2,2,3,2,1,4,2,3,3,1,3,1,59.8493862271105,1
2362,1,1,3,2,1,1,1,2,3,3,2,1,2,2,2,1,1,2,2,1,1, , , ,1,1,5,4,5,5,4,4,5,5,5,5,5,1, , , , ,1, , , ,1,3,2,2,3,2,2,3,1,1,4,3,1,3,1,3,2,62.9351790050011,1
2363,2,1,3,2,1,1,1,3,3,3,2,2,2,2,1,2,2,2,2,1,1, , , ,1,1,4,4,4,5,4,5,5,5,4,4,4,2, , , , , , ,1, ,1,3,1,1,3,2,2,3,4,2,4,3,2,3,1,2,2,55.0707604205965,1
2364,1,1,3,2,1,2,1,4,3,3,2,2,2,2,1,2,2,2,3,1,1, , , ,2,2,3,5,4,5,2,4,5,5,4,4,5,2, , , , , , , ,1,3,3,1,1,3,2,2,3,5,1,4,5,5,5,1,1,1,49.7601013765151,1
