"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"23.b.Kismet",23,"F",13,0,"Y","b.Kismet",57,0,TRUE
"27.b.Kismet",27,"M",12,10,"Y","b.Kismet",47,1,TRUE
"28.b.Kismet",28,"M",44,0.25,"Y","b.Kismet",37,1,FALSE
"33.b.Kismet",33,"F",48,0,"Y","b.Kismet",51,0,FALSE
"37.b.Kismet",37,"F",52,0.5,"Y","b.Kismet",37,0,FALSE
"40.b.Kismet",40,"F",54,0,"Y","b.Kismet",45,0,FALSE
"43.b.Kismet",43,"M",10,16,"Y","b.Kismet",44,1,TRUE
"49.b.Kismet",49,"F",11,5,"Y","b.Kismet",-65,0,TRUE
"1.f.Human",1,"M",39,0,"N","f.Human",40,1,FALSE
"3.f.Human",3,"M",56,0,"N","f.Human",71,1,FALSE
"4.f.Human",4,"F",32,0.25,"N","f.Human",35,0,FALSE
"5.f.Human",5,"M",44,0,"N","f.Human",78,1,FALSE
"6.f.Human",6,"M",45,0,"N","f.Human",51,1,FALSE
"7.f.Human",7,"F",26,0,"N","f.Human",13,0,FALSE
"8.f.Human",8,"F",61,0,"N","f.Human",73,0,FALSE
"9.f.Human",9,"M",13,10,"N","f.Human",72,1,TRUE
"10.f.Human",10,"F",44,0,"N","f.Human",5,0,FALSE
"18.f.Human",18,"F",12,0,"N","f.Human",14,0,TRUE
"19.f.Human",19,"M",21,25,"N","f.Human",-8,1,FALSE
"20.f.Human",20,"F",66,0,"N","f.Human",74,0,FALSE
"21.f.Human",21,"F",47,0,"N","f.Human",13,0,FALSE
"24.f.Human",24,"F",13,3.5,"N","f.Human",70,0,TRUE
"25.f.Human",25,"M",46,0,"N","f.Human",34,1,FALSE
"26.f.Human",26,"F",46,0,"N","f.Human",48,0,FALSE
"29.f.Human",29,"F",35,0,"N","f.Human",58,0,FALSE
"30.f.Human",30,"M",48,0,"N","f.Human",38,1,FALSE
"31.f.Human",31,"F",41,0,"N","f.Human",75,0,FALSE
"32.f.Human",32,"M",44,0,"N","f.Human",74,1,FALSE
"34.f.Human",34,"M",46,0,"N","f.Human",73,1,FALSE
"35.f.Human",35,"F",52,0,"N","f.Human",15,0,FALSE
"36.f.Human",36,"F",43,0,"N","f.Human",52,0,FALSE
