"","Duration","Age","Gender","gen_comf","gen_masc","gen_fem","gen_stab","sex_str","sex_freq","sex_pref","rom_str","rom_freq","rom_pref"
"113",243,19,"Female",9,6,6,NA,7,4,9,9,9,7
"114",125,21,"Female",9,3,7,9,9,7,7,9,7,7
"115",108,19,"Female",6,5,3,5,9,9,3,9,9,1
"116",101,21,"Other",7,7,7,3,9,7,7,9,7,8
"117",166,19,"Female",9,2,7,9,3,2,9,5,2,9
"118",99,21,"Female",9,5,4,6,8,4,3,9,7,3
"119",184,19,"Female",9,5,5,9,9,7,8,9,3,8
"120",98,20,"Female",9,4,8,9,9,6,3,9,5,7
"121",2682,18,"Female",9,3,7,8,6,8,8,7,8,8
"122",120,19,"Female",9,2,8,8,8,7,8,8,6,7
"123",868,21,"Female",9,4,7,6,8,8,2,7,8,1
"124",201,20,"Female",9,3,9,9,9,9,5,6,2,2
"125",903,19,"Female",9,2,7,8,7,7,5,4,5,4
"126",92,18,"Female",9,3,6,7,6,7,6,8,7,4
"127",134,20,"Female",9,3,7,8,3,3,5,8,8,5
"128",181,18,"Female",9,5,7,9,9,7,5,9,6,5
"129",140,18,"Female",9,4,6,8,7,6,6,7,6,7
"130",177,19,"Female",9,2,7,9,9,7,9,8,6,9
"131",132,18,"Female",9,2,7,6,7,7,9,9,8,9
"132",160,19,"Female",9,4,6,9,6,4,8,8,7,8
"133",138,19,"Female",9,5,5,7,8,8,1,7,4,1
"134",454,19,"Female",9,4,6,8,9,8,9,9,7,9
"135",185,20,"Female",9,2,7,9,9,8,9,9,9,9
"136",272,20,"Female",9,5,6,9,8,6,7,9,7,9
"137",177,19,"Male",9,8,2,9,7,7,1,7,7,1
"138",180,18,"Female",9,7,3,9,5,5,6,7,6,9
"139",92,19,"Female",9,2,8,9,9,7,9,8,7,9
"140",143,18,"Female",9,3,7,9,8,5,9,8,6,9
"141",433,20,"Female",9,4,5,9,9,6,9,8,6,9
"142",9546,21,"Male",6,7,4,7,9,8,5,9,7,4
"143",364,22,"Female",9,6,5,8,9,9,2,9,9,1
"144",292,20,"Female",9,5,5,9,6,4,6,9,5,6
"145",170,19,"Female",8,4,6,8,8,5,8,6,4,8
"146",798,20,"Female",9,3,7,9,8,4,2,9,4,6
"147",170,18,"Female",9,2,8,9,8,5,8,6,2,8
"148",86,21,"Male",9,6,3,9,7,6,2,7,4,1
"149",214,20,"Female",9,3,7,8,7,5,8,9,4,7
"150",143,19,"Female",9,4,6,8,8,6,8,8,9,9
"151",678,19,"Female",9,1,9,9,9,5,6,9,6,6
"152",141,18,"Male",7,7,6,4,7,8,5,9,8,5
"153",88,19,"Female",8,7,5,8,7,8,5,8,9,5
"154",103,20,"Male",9,7,2,9,8,6,1,9,2,1
"155",177,19,"Male",9,7,3,9,7,4,2,6,3,1
"156",66,20,"Other",9,7,3,3,2,2,6,9,6,6
"157",93,20,"Female",8,6,6,8,9,9,5,9,9,5
"158",154,19,"Male",7,6,8,4,8,7,8,8,8,8
"159",103,20,"Female",9,4,8,9,8,8,8,4,2,8
"160",117,25,"Female",9,2,7,8,8,8,8,8,8,9
"161",179,20,"Female",9,3,7,9,9,9,3,9,9,2
"162",128,21,"Female",9,1,9,9,9,9,9,8,8,9
"163",249,19,"Female",9,6,8,7,8,7,7,8,7,7
"164",210,20,"Male",9,6,3,9,7,4,1,7,7,1
